[Jan 8 15:15:07] 
[Jan 8 15:15:07] ==DUPLICATOR INSTALLER BOOTSTRAP v1.5.13.3==
[Jan 8 15:15:07] ----------------------------------------------------
[Jan 8 15:15:07] Installer bootstrap start
[Jan 8 15:15:07] Ready to extract the installer
[Jan 8 15:15:07] Checking permission of destination folder
[Jan 8 15:15:07] ZipArchive exists so using that
[Jan 8 15:15:07] Successfully opened archive file.
[Jan 8 15:15:07] Extracting all files from archive within dup-installer
[Jan 8 15:15:08] Success: dup-installer/dup-database__[HASH].sql >>> /home/customer/www/nuvanx.com/public_html
[Jan 8 15:15:08] Success: dup-installer/src/Utils/InstallerUpsell.php >>> /home/customer/www/nuvanx.com/public_html
[Jan 8 15:15:08] Success: dup-installer/src/Utils/Autoloader.php >>> /home/customer/www/nuvanx.com/public_html
[Jan 8 15:15:08] Success: dup-installer/src/Utils/InstallerLinkManager.php >>> /home/customer/www/nuvanx.com/public_html
[Jan 8 15:15:08] Success: dup-installer/src/Utils/Log/Log.php >>> /home/customer/www/nuvanx.com/public_html
[Jan 8 15:15:08] Success: dup-installer/src/Utils/Log/LogHandler.php >>> /home/customer/www/nuvanx.com/public_html
[Jan 8 15:15:08] Success: dup-installer/src/Utils/Tests/MessageCustomizer.php >>> /home/customer/www/nuvanx.com/public_html
[Jan 8 15:15:08] Success: dup-installer/src/Utils/Tests/WP/tests_template.php >>> /home/customer/www/nuvanx.com/public_html
[Jan 8 15:15:08] Success: dup-installer/src/Utils/Tests/WP/TestsErrorHandler.php >>> /home/customer/www/nuvanx.com/public_html
[Jan 8 15:15:08] Success: dup-installer/src/Utils/Tests/WP/TestsExecuter.php >>> /home/customer/www/nuvanx.com/public_html
[Jan 8 15:15:08] Success: dup-installer/src/Utils/Tests/TestInterface.php >>> /home/customer/www/nuvanx.com/public_html
[Jan 8 15:15:08] Success: dup-installer/src/Utils/Tests/MessageCustomizerItem.php >>> /home/customer/www/nuvanx.com/public_html
[Jan 8 15:15:08] Success: dup-installer/src/.htaccess >>> /home/customer/www/nuvanx.com/public_html
[Jan 8 15:15:08] Success: dup-installer/src/Core/Addons/InstAbstractAddonCore.php >>> /home/customer/www/nuvanx.com/public_html
[Jan 8 15:15:08] Success: dup-installer/src/Core/Addons/InstAddonsManager.php >>> /home/customer/www/nuvanx.com/public_html
[Jan 8 15:15:08] Success: dup-installer/src/Core/Deploy/DupArchive/DawsExpandState.php >>> /home/customer/www/nuvanx.com/public_html
[Jan 8 15:15:08] Success: dup-installer/src/Core/Deploy/DupArchive/Daws.php >>> /home/customer/www/nuvanx.com/public_html
[Jan 8 15:15:08] Success: dup-installer/src/Core/Deploy/DupArchive/DawsLogger.php >>> /home/customer/www/nuvanx.com/public_html
[Jan 8 15:15:08] Success: dup-installer/src/Core/Deploy/Files/FilterMng.php >>> /home/customer/www/nuvanx.com/public_html
[Jan 8 15:15:08] Success: dup-installer/src/Core/Deploy/Files/RemoveFiles.php >>> /home/customer/www/nuvanx.com/public_html
[Jan 8 15:15:08] Success: dup-installer/src/Core/Deploy/Files/Filters.php >>> /home/customer/www/nuvanx.com/public_html
[Jan 8 15:15:08] Success: dup-installer/src/Core/Deploy/Database/DbUserMode.php >>> /home/customer/www/nuvanx.com/public_html
[Jan 8 15:15:08] Success: dup-installer/src/Core/Deploy/Database/DbCleanup.php >>> /home/customer/www/nuvanx.com/public_html
[Jan 8 15:15:08] Success: dup-installer/src/Core/Deploy/Database/QueryFixes.php >>> /home/customer/www/nuvanx.com/public_html
[Jan 8 15:15:08] Success: dup-installer/src/Core/Deploy/Database/DbReplace.php >>> /home/customer/www/nuvanx.com/public_html
[Jan 8 15:15:08] Success: dup-installer/src/Core/Hooks/HooksMng.php >>> /home/customer/www/nuvanx.com/public_html
[Jan 8 15:15:08] Success: dup-installer/src/Core/Hooks/Hook.php >>> /home/customer/www/nuvanx.com/public_html
[Jan 8 15:15:08] Success: dup-installer/src/Core/Params/Items/ParamFormPass.php >>> /home/customer/www/nuvanx.com/public_html
[Jan 8 15:15:08] Success: dup-installer/src/Core/Params/Items/ParamFormPlugins.php >>> /home/customer/www/nuvanx.com/public_html
[Jan 8 15:15:08] Success: dup-installer/src/Core/Params/Items/ParamFormUsersReset.php >>> /home/customer/www/nuvanx.com/public_html
[Jan 8 15:15:08] Success: dup-installer/src/Core/Params/Items/ParamFormTables.php >>> /home/customer/www/nuvanx.com/public_html
[Jan 8 15:15:08] Success: dup-installer/src/Core/Params/Items/ParamItem.php >>> /home/customer/www/nuvanx.com/public_html
[Jan 8 15:15:08] Success: dup-installer/src/Core/Params/Items/ParamOption.php >>> /home/customer/www/nuvanx.com/public_html
[Jan 8 15:15:08] Success: dup-installer/src/Core/Params/Items/ParamFormWpConfig.php >>> /home/customer/www/nuvanx.com/public_html
[Jan 8 15:15:08] Success: dup-installer/src/Core/Params/Items/ParamForm.php >>> /home/customer/www/nuvanx.com/public_html
[Jan 8 15:15:08] Success: dup-installer/src/Core/Params/Descriptors/ParamsDescriptors.php >>> /home/customer/www/nuvanx.com/public_html
[Jan 8 15:15:08] Success: dup-installer/src/Core/Params/Descriptors/ParamDescUrlsPaths.php >>> /home/customer/www/nuvanx.com/public_html
[Jan 8 15:15:08] Success: dup-installer/src/Core/Params/Descriptors/ParamDescWpConfig.php >>> /home/customer/www/nuvanx.com/public_html
